,time,type,key,slot,player_slot,id,avg_mmr
0,220,chatwheel,137001,5,128,6942752912,1256
1,223,chatwheel,71,8,131,6942752912,1256
2,387,chatwheel,71,4,4,6942752912,1256
3,388,chatwheel,71,4,4,6942752912,1256
4,391,chatwheel,71,5,128,6942752912,1256
5,392,chatwheel,71,5,128,6942752912,1256
6,455,chatwheel,71,8,131,6942752912,1256
7,455,chatwheel,71,8,131,6942752912,1256
8,469,chatwheel,76,0,0,6942752912,1256
9,487,chatwheel,71,4,4,6942752912,1256
10,487,chatwheel,71,4,4,6942752912,1256
11,554,chatwheel,71,4,4,6942752912,1256
12,560,chatwheel,586,8,131,6942752912,1256
13,578,chatwheel,71,5,128,6942752912,1256
14,616,chatwheel,71,7,130,6942752912,1256
15,703,chatwheel,455,6,129,6942752912,1256
16,710,chat,матери на леченме забери,1,1,6942752912,1256
17,719,chatwheel,42,6,129,6942752912,1256
18,748,chatwheel,455,6,129,6942752912,1256
19,753,chat,изи,0,0,6942752912,1256
20,913,chatwheel,137001,5,128,6942752912,1256
21,913,chatwheel,137001,5,128,6942752912,1256
22,1157,chatwheel,7,2,2,6942752912,1256
23,1164,chatwheel,7,4,4,6942752912,1256
24,1164,chatwheel,7,4,4,6942752912,1256
25,1549,chat,петухи,4,4,6942752912,1256
26,1625,chat,сносите,4,4,6942752912,1256
27,1630,chat,ахахха,6,129,6942752912,1256
28,1635,chat,бессмысленно,4,4,6942752912,1256
29,1640,chat,я рубен петрович ,0,0,6942752912,1256
30,1642,chat,играть это,4,4,6942752912,1256
31,1653,chat,рубик ничего не делает,4,4,6942752912,1256
32,1776,chat,ПАВХПХАВ,0,0,6942752912,1256
33,2152,chatwheel,587,8,131,6942752912,1256
34,2155,chatwheel,7,2,2,6942752912,1256
35,2156,chatwheel,454,3,3,6942752912,1256
36,2156,chatwheel,587,8,131,6942752912,1256
37,2160,chatwheel,581,3,3,6942752912,1256
38,2163,chatwheel,585,1,1,6942752912,1256
39,2205,chat,GG,4,4,6942752912,1256
40,2210,chat,гг,6,129,6942752912,1256
41,2210,chatwheel,76,5,128,6942752912,1256
42,2211,chatwheel,76,5,128,6942752912,1256
43,2211,chat,ахахаха,6,129,6942752912,1256
44,2360,chat,у нас праймал вагнер,6,129,6942752912,1256
45,2587,chatwheel,579,0,0,6942752912,1256
46,2594,chatwheel,586,8,131,6942752912,1256
47,2596,chatwheel,440,0,0,6942752912,1256
48,2603,chatwheel,7,2,2,6942752912,1256
49,2605,chatwheel,7,2,2,6942752912,1256
50,2681,chatwheel,579,0,0,6942752912,1256
51,2699,chatwheel,290,0,0,6942752912,1256
52,2705,chatwheel,290,3,3,6942752912,1256
53,2706,chatwheel,290,3,3,6942752912,1256
54,2710,chat,ez,6,129,6942752912,1256
55,2711,chatwheel,137001,5,128,6942752912,1256
56,2711,chatwheel,76,0,0,6942752912,1256
57,2712,chatwheel,76,0,0,6942752912,1256
58,2712,chatwheel,137002,5,128,6942752912,1256
59,2713,chatwheel,62,0,0,6942752912,1256
60,2714,chatwheel,5,0,0,6942752912,1256
0,-75,chatwheel,7,2,2,6948278006,6366
1,-45,chatwheel,76,5,128,6948278006,6366
2,-42,chatwheel,75,1,1,6948278006,6366
3,-42,chatwheel,75,1,1,6948278006,6366
4,7,chatwheel,66,5,128,6948278006,6366
5,9,chatwheel,106003,7,130,6948278006,6366
6,58,chatwheel,68,5,128,6948278006,6366
7,88,chatwheel,7,2,2,6948278006,6366
8,152,chatwheel,62,9,132,6948278006,6366
9,185,chatwheel,37001,2,2,6948278006,6366
10,243,chatwheel,54,1,1,6948278006,6366
11,274,chatwheel,68,5,128,6948278006,6366
12,287,chatwheel,72,7,130,6948278006,6366
13,290,chatwheel,7,0,0,6948278006,6366
14,291,chatwheel,7,2,2,6948278006,6366
15,354,chat,???,4,4,6948278006,6366
16,383,chatwheel,71,4,4,6948278006,6366
17,383,chatwheel,71,4,4,6948278006,6366
18,391,chatwheel,68,5,128,6948278006,6366
19,392,chatwheel,0,9,132,6948278006,6366
20,419,chatwheel,66,9,132,6948278006,6366
21,433,chatwheel,71,7,130,6948278006,6366
22,436,chatwheel,71,9,132,6948278006,6366
23,444,chatwheel,71,4,4,6948278006,6366
24,446,chatwheel,71,1,1,6948278006,6366
25,455,chatwheel,68,5,128,6948278006,6366
26,462,chatwheel,72,5,128,6948278006,6366
27,483,chatwheel,37003,2,2,6948278006,6366
28,495,chatwheel,7,6,129,6948278006,6366
29,583,chatwheel,71,1,1,6948278006,6366
30,600,chatwheel,68,5,128,6948278006,6366
31,663,chatwheel,68,5,128,6948278006,6366
32,687,chatwheel,61,5,128,6948278006,6366
33,689,chatwheel,71,7,130,6948278006,6366
34,689,chatwheel,71,7,130,6948278006,6366
35,708,chatwheel,587,6,129,6948278006,6366
36,789,chatwheel,37001,2,2,6948278006,6366
37,791,chatwheel,75001,1,1,6948278006,6366
38,791,chatwheel,75001,1,1,6948278006,6366
39,812,chatwheel,471,7,130,6948278006,6366
40,814,chatwheel,443,8,131,6948278006,6366
41,816,chatwheel,494,8,131,6948278006,6366
42,821,chatwheel,579,8,131,6948278006,6366
43,846,chatwheel,0,9,132,6948278006,6366
44,954,chatwheel,0,9,132,6948278006,6366
45,967,chatwheel,44002,6,129,6948278006,6366
46,967,chatwheel,44002,6,129,6948278006,6366
47,1010,chatwheel,587,6,129,6948278006,6366
48,1010,chatwheel,587,6,129,6948278006,6366
49,1024,chatwheel,68,5,128,6948278006,6366
50,1049,chatwheel,0,9,132,6948278006,6366
51,1102,chatwheel,587,6,129,6948278006,6366
52,1103,chatwheel,587,6,129,6948278006,6366
53,1124,chat,2 bots primal silencer),6,129,6948278006,6366
54,1145,chatwheel,32001,5,128,6948278006,6366
55,1152,chatwheel,2,5,128,6948278006,6366
56,1172,chatwheel,2,6,129,6948278006,6366
57,1199,chatwheel,12,9,132,6948278006,6366
58,1230,chatwheel,44001,6,129,6948278006,6366
59,1230,chatwheel,44001,6,129,6948278006,6366
60,1291,chatwheel,37001,2,2,6948278006,6366
61,1291,chatwheel,37001,2,2,6948278006,6366
62,1414,chatwheel,37001,2,2,6948278006,6366
63,1414,chatwheel,37001,2,2,6948278006,6366
64,1419,chatwheel,401114,8,131,6948278006,6366
65,1420,chatwheel,1,8,131,6948278006,6366
66,1422,chatwheel,3,3,3,6948278006,6366
67,1422,chatwheel,579,3,3,6948278006,6366
68,1426,chatwheel,579,8,131,6948278006,6366
69,1427,chatwheel,579,3,3,6948278006,6366
70,1463,chatwheel,65,4,4,6948278006,6366
71,1490,chatwheel,37003,2,2,6948278006,6366
72,1490,chatwheel,37003,2,2,6948278006,6366
73,1539,chatwheel,7,6,129,6948278006,6366
74,1539,chatwheel,7,6,129,6948278006,6366
75,1591,chatwheel,0,1,1,6948278006,6366
76,1653,chatwheel,68,5,128,6948278006,6366
77,1687,chatwheel,2,4,4,6948278006,6366
78,1702,chatwheel,585,1,1,6948278006,6366
79,1703,chatwheel,585,1,1,6948278006,6366
80,1707,chatwheel,71,5,128,6948278006,6366
81,1709,chatwheel,106003,7,130,6948278006,6366
