,time,type,key,slot,player_slot,id,avg_mmr,unit
0,-33,chatwheel,71,6,129,6932240912,3400,
1,331,chatwheel,71,2,2,6932240912,3400,
2,549,chatwheel,71,7,130,6932240912,3400,
3,549,chatwheel,71,7,130,6932240912,3400,
4,988,chatwheel,2,4,4,6932240912,3400,
5,1138,chatwheel,71,6,129,6932240912,3400,
6,1139,chatwheel,71,6,129,6932240912,3400,
7,1185,chatwheel,71,3,3,6932240912,3400,
8,1426,chatwheel,71,3,3,6932240912,3400,
9,2334,chatwheel,75,9,132,6932240912,3400,
10,2532,chatwheel,71,2,2,6932240912,3400,
0,-39,chatwheel,7,8,131,6949139109,4060,
1,119,chatwheel,71,6,129,6949139109,4060,
2,328,chatwheel,71,6,129,6949139109,4060,
3,563,chatwheel,71,3,3,6949139109,4060,
4,575,chatwheel,7,8,131,6949139109,4060,
5,853,chatwheel,7,8,131,6949139109,4060,
6,871,chatwheel,76,1,1,6949139109,4060,
7,945,chat,cba,8,131,6949139109,4060,
8,955,chat,队友 打Nm,8,131,6949139109,4060,
9,964,chat,不是你们下路爆了嘛,0,0,6949139109,4060,
10,986,chat,10分钟 你们2个下路死了6次？,0,0,6949139109,4060,
11,1011,chat,宙斯全家死了  不会有人不同意吧？,7,130,6949139109,4060,
12,1017,chat,可怕,0,0,6949139109,4060,
13,1078,chat,屠 杀罢了,1,1,6949139109,4060,
14,1083,chat,宙斯玩3是我没想到的,0,0,6949139109,4060,
15,1792,chatwheel,76,8,131,6949139109,4060,
16,2017,chatwheel,76,8,131,6949139109,4060,
17,2020,chat,zhen cai ,8,131,6949139109,4060,
18,2388,chatwheel,76,2,2,6949139109,4060,
19,2390,chatwheel,76,8,131,6949139109,4060,
20,2392,chatwheel,461,0,0,6949139109,4060,
21,2395,chat,?,6,129,6949139109,4060,
22,2396,chat,ez,7,130,6949139109,4060,
23,2404,chat,哈哈装上了,4,4,6949139109,4060,
24,2404,chat,能不能再菜一点？,8,131,6949139109,4060,
25,2425,chat,ez,7,130,6949139109,4060,
26,2432,chat,我是一点都没想过这种局还能翻的,6,129,6949139109,4060,
0,234,chatwheel,71,0,0,6940111503,764,
1,455,chatwheel,71,8,131,6940111503,764,
2,456,chatwheel,71,8,131,6940111503,764,
3,463,chatwheel,7,4,4,6940111503,764,
4,465,chatwheel,7,2,2,6940111503,764,
5,469,chatwheel,475,5,128,6940111503,764,
6,497,chatwheel,10001,1,1,6940111503,764,
