,time,type,key,slot,player_slot,id,avg_mmr
0,215,chatwheel,71,0,0,6949466007,2845
1,215,chatwheel,71,0,0,6949466007,2845
2,299,chatwheel,7,2,2,6949466007,2845
3,303,chatwheel,7,6,129,6949466007,2845
4,346,chatwheel,71,8,131,6949466007,2845
5,352,chatwheel,7,6,129,6949466007,2845
6,371,chatwheel,71,7,130,6949466007,2845
7,381,chatwheel,71,2,2,6949466007,2845
8,381,chatwheel,71,2,2,6949466007,2845
9,384,chatwheel,71,2,2,6949466007,2845
10,385,chatwheel,71,2,2,6949466007,2845
11,414,chatwheel,71,0,0,6949466007,2845
12,415,chatwheel,71,0,0,6949466007,2845
13,421,chatwheel,72,0,0,6949466007,2845
14,424,chatwheel,2,6,129,6949466007,2845
15,424,chatwheel,97002,6,129,6949466007,2845
16,485,chatwheel,62,6,129,6949466007,2845
17,498,chatwheel,71,0,0,6949466007,2845
18,498,chatwheel,71,0,0,6949466007,2845
19,504,chatwheel,71,0,0,6949466007,2845
20,504,chatwheel,71,0,0,6949466007,2845
21,560,chatwheel,2,6,129,6949466007,2845
22,570,chatwheel,7,6,129,6949466007,2845
23,606,chatwheel,62,6,129,6949466007,2845
24,607,chatwheel,7,6,129,6949466007,2845
25,934,chatwheel,97001,6,129,6949466007,2845
26,946,chatwheel,7,6,129,6949466007,2845
27,1177,chatwheel,7,6,129,6949466007,2845
28,1252,chatwheel,7,6,129,6949466007,2845
29,1299,chatwheel,71,6,129,6949466007,2845
30,1367,chatwheel,7,6,129,6949466007,2845
31,1369,chatwheel,71,6,129,6949466007,2845
32,1369,chatwheel,71,6,129,6949466007,2845
33,1411,chatwheel,453,9,132,6949466007,2845
34,1695,chatwheel,7,6,129,6949466007,2845
35,1947,chat,....,5,128,6949466007,2845
36,2006,chatwheel,7,6,129,6949466007,2845
37,2044,chatwheel,7,6,129,6949466007,2845
38,2081,chatwheel,97001,6,129,6949466007,2845
39,2147,chatwheel,25002,8,131,6949466007,2845
40,2653,chatwheel,7,6,129,6949466007,2845
41,2752,chatwheel,71,7,130,6949466007,2845
42,2753,chatwheel,71,7,130,6949466007,2845
43,3080,chatwheel,2,6,129,6949466007,2845
44,3080,chatwheel,2,6,129,6949466007,2845
45,3284,chatwheel,7,6,129,6949466007,2845
46,3353,chatwheel,7,6,129,6949466007,2845
47,3400,chatwheel,76,5,128,6949466007,2845
48,3400,chat,gg,6,129,6949466007,2845
49,3404,chat,idi nahui,6,129,6949466007,2845
0,-41,chatwheel,95001,4,4,6944358106,4100
1,265,chatwheel,71,9,132,6944358106,4100
2,265,chatwheel,71,9,132,6944358106,4100
3,806,chat,JD,2,2,6944358106,4100
4,898,chatwheel,95001,4,4,6944358106,4100
5,1429,chatwheel,95001,4,4,6944358106,4100
6,1554,chat,智力1了,8,131,6944358106,4100
7,1595,chatwheel,7,9,132,6944358106,4100
8,1596,chatwheel,65,9,132,6944358106,4100
9,1598,chatwheel,69,9,132,6944358106,4100
10,1598,chatwheel,69,9,132,6944358106,4100
11,1601,chatwheel,69,9,132,6944358106,4100
12,1601,chatwheel,69,9,132,6944358106,4100
13,1602,chatwheel,456,8,131,6944358106,4100
14,1833,chatwheel,95001,4,4,6944358106,4100
0,58,chatwheel,71,5,128,6934468504,1789
1,144,chatwheel,440,9,132,6934468504,1789
2,289,chatwheel,440,9,132,6934468504,1789
3,290,chatwheel,440,9,132,6934468504,1789
4,331,chatwheel,7,6,129,6934468504,1789
5,551,chatwheel,440,9,132,6934468504,1789
6,680,chatwheel,440,9,132,6934468504,1789
7,681,chatwheel,440,9,132,6934468504,1789
8,848,chatwheel,440,9,132,6934468504,1789
9,848,chatwheel,440,9,132,6934468504,1789
10,946,chatwheel,440,9,132,6934468504,1789
11,968,chatwheel,440,9,132,6934468504,1789
12,970,chat,?,9,132,6934468504,1789
13,1085,chatwheel,440,9,132,6934468504,1789
14,1085,chatwheel,440,9,132,6934468504,1789
15,1232,chat,?,7,130,6934468504,1789
16,1235,chatwheel,440,9,132,6934468504,1789
17,1355,chatwheel,2,3,3,6934468504,1789
18,1355,chatwheel,2,3,3,6934468504,1789
19,1536,chatwheel,440,9,132,6934468504,1789
20,1536,chatwheel,440,9,132,6934468504,1789
21,1598,chatwheel,440,9,132,6934468504,1789
22,1598,chatwheel,440,9,132,6934468504,1789
23,1633,chat,?,9,132,6934468504,1789
24,1635,chat,da komanda prosto zawla by,1,1,6934468504,1789
25,1639,chat,v etot ebu4i krug,1,1,6934468504,1789
26,2622,chatwheel,440,9,132,6934468504,1789
27,2623,chatwheel,440,9,132,6934468504,1789
28,2658,chat,?,7,130,6934468504,1789
29,2658,chat,on min 10 afk uje,1,1,6934468504,1789
30,2659,chat,ку кареку,9,132,6934468504,1789
31,2711,chat,изи,7,130,6934468504,1789
32,2713,chatwheel,464,7,130,6934468504,1789
33,2713,chatwheel,586,7,130,6934468504,1789
0,-40,chatwheel,54,6,129,6947327310,4149
1,72,chatwheel,50,6,129,6947327310,4149
2,146,chatwheel,1,2,2,6947327310,4149
3,206,chatwheel,68,2,2,6947327310,4149
4,278,chatwheel,7,8,131,6947327310,4149
5,312,chatwheel,50,6,129,6947327310,4149
6,391,chatwheel,10,3,3,6947327310,4149
7,449,chat,so much hate for a cm ,2,2,6947327310,4149
8,450,chatwheel,71,5,128,6947327310,4149
9,461,chatwheel,71,9,132,6947327310,4149
10,486,chatwheel,10,3,3,6947327310,4149
11,489,chatwheel,71,9,132,6947327310,4149
12,502,chatwheel,440,9,132,6947327310,4149
13,508,chatwheel,71,9,132,6947327310,4149
14,568,chatwheel,5005,2,2,6947327310,4149
15,587,chatwheel,5001,2,2,6947327310,4149
16,616,chatwheel,10,3,3,6947327310,4149
17,617,chatwheel,10,3,3,6947327310,4149
18,731,chatwheel,1,2,2,6947327310,4149
19,825,chatwheel,2,0,0,6947327310,4149
20,957,chatwheel,71,3,3,6947327310,4149
21,1161,chatwheel,2,0,0,6947327310,4149
22,1183,chatwheel,2,8,131,6947327310,4149
23,1203,chatwheel,7,2,2,6947327310,4149
24,1203,chat,?,1,1,6947327310,4149
25,1211,chat,Are u  ad,1,1,6947327310,4149
26,1359,chat,LOL,5,128,6947327310,4149
27,1359,chatwheel,5003,2,2,6947327310,4149
28,1364,chat,sorry sis,2,2,6947327310,4149
29,1404,chatwheel,5001,2,2,6947327310,4149
30,1405,chatwheel,5003,2,2,6947327310,4149
31,1615,chatwheel,440,9,132,6947327310,4149
32,1617,chatwheel,288,9,132,6947327310,4149
33,1674,chatwheel,8,6,129,6947327310,4149
34,1695,chatwheel,19001,6,129,6947327310,4149
35,1696,chatwheel,19001,6,129,6947327310,4149
36,2052,chatwheel,7,2,2,6947327310,4149
37,2075,chatwheel,7,2,2,6947327310,4149
38,2096,chatwheel,71,3,3,6947327310,4149
39,2128,chatwheel,71,1,1,6947327310,4149
40,2502,chatwheel,71,7,130,6947327310,4149
41,2562,chatwheel,2,8,131,6947327310,4149
42,2649,chatwheel,7,2,2,6947327310,4149
43,2722,chat,gg,5,128,6947327310,4149
44,2747,chatwheel,76,8,131,6947327310,4149
45,2750,chatwheel,5003,2,2,6947327310,4149
46,2751,chat,lol jks,2,2,6947327310,4149
47,2751,chat,nice bbs,4,4,6947327310,4149
48,2752,chat,we do ,2,2,6947327310,4149
49,2758,chat,ALL ME ,3,3,6947327310,4149
50,2760,chat,they had bb all this time,9,132,6947327310,4149
51,2763,chat,fuck off clinkz,3,3,6947327310,4149
52,2763,chat,ggs,7,130,6947327310,4149
53,2764,chat,can u fucking believ it,9,132,6947327310,4149
54,2764,chat,lol,7,130,6947327310,4149
0,-74,chat,preparen el culo que ya me vengo,4,4,6941595900,2563
1,-52,chat,SI JUEGAS COMO ESA MRD DE TECHIES ESTAR EZ,9,132,6941595900,2563
2,-45,chat,jajajajajajjaja,5,128,6941595900,2563
3,-12,chat,tanto te duele el culo=?,4,4,6941595900,2563
4,7,chatwheel,16001,4,4,6941595900,2563
5,7,chatwheel,16001,4,4,6941595900,2563
6,8,chatwheel,464,7,130,6941595900,2563
7,274,chatwheel,450,7,130,6941595900,2563
8,289,chatwheel,71,0,0,6941595900,2563
9,375,chatwheel,464,7,130,6941595900,2563
10,398,chatwheel,450,7,130,6941595900,2563
11,428,chatwheel,71,7,130,6941595900,2563
12,450,chatwheel,16001,4,4,6941595900,2563
13,452,chatwheel,459,4,4,6941595900,2563
14,515,chatwheel,464,7,130,6941595900,2563
15,519,chatwheel,459,4,4,6941595900,2563
16,549,chatwheel,450,7,130,6941595900,2563
17,550,chatwheel,71,7,130,6941595900,2563
18,633,chat,tanto quieren que les meta la rrata?,4,4,6941595900,2563
19,780,chatwheel,16001,4,4,6941595900,2563
20,780,chatwheel,16001,4,4,6941595900,2563
21,905,chatwheel,444,4,4,6941595900,2563
22,909,chatwheel,459,4,4,6941595900,2563
23,909,chatwheel,453,5,128,6941595900,2563
24,1001,chatwheel,16001,4,4,6941595900,2563
