,time,type,key,slot,player_slot,id,avg_mmr
0,-73,chatwheel,72001,6,129,6946436314,4055
1,-68,chatwheel,72003,6,129,6946436314,4055
2,-40,chatwheel,54002,0,0,6946436314,4055
3,-28,chatwheel,72001,6,129,6946436314,4055
4,18,chatwheel,72001,6,129,6946436314,4055
5,34,chatwheel,54,6,129,6946436314,4055
6,37,chatwheel,72004,6,129,6946436314,4055
7,136,chatwheel,466,6,129,6946436314,4055
8,178,chatwheel,463,6,129,6946436314,4055
9,211,chatwheel,76,8,131,6946436314,4055
10,212,chatwheel,76,2,2,6946436314,4055
11,216,chatwheel,71,6,129,6946436314,4055
12,241,chatwheel,71,6,129,6946436314,4055
13,296,chatwheel,466,6,129,6946436314,4055
14,333,chatwheel,71,6,129,6946436314,4055
15,334,chatwheel,2,6,129,6946436314,4055
16,368,chatwheel,71,0,0,6946436314,4055
17,524,chatwheel,72001,6,129,6946436314,4055
18,585,chatwheel,455,3,3,6946436314,4055
19,588,chatwheel,54,6,129,6946436314,4055
20,656,chatwheel,54,6,129,6946436314,4055
21,657,chatwheel,466,6,129,6946436314,4055
22,703,chatwheel,72001,6,129,6946436314,4055
23,705,chatwheel,54,6,129,6946436314,4055
24,757,chatwheel,7,1,1,6946436314,4055
25,866,chatwheel,54,6,129,6946436314,4055
26,913,chatwheel,72001,6,129,6946436314,4055
27,1085,chatwheel,54,6,129,6946436314,4055
28,1134,chat,gomid ,5,128,6946436314,4055
29,1134,chat,ty ,5,128,6946436314,4055
30,1140,chat,+,8,131,6946436314,4055
31,1164,chatwheel,72001,6,129,6946436314,4055
32,1164,chatwheel,440,3,3,6946436314,4055
33,1170,chatwheel,72003,6,129,6946436314,4055
34,1299,chat,kfcn ,5,128,6946436314,4055
35,1302,chat,ласт файрт,5,128,6946436314,4055
36,1312,chat,?,2,2,6946436314,4055
37,1321,chatwheel,440,3,3,6946436314,4055
38,1327,chat,what is ur problem then,2,2,6946436314,4055
39,1477,chatwheel,466,2,2,6946436314,4055
40,1478,chatwheel,582,2,2,6946436314,4055
41,1501,chatwheel,54,6,129,6946436314,4055
42,1526,chatwheel,72001,6,129,6946436314,4055
43,1620,chat,EZ,4,4,6946436314,4055
44,1622,chat,ez mid,2,2,6946436314,4055
45,1622,chat,acc buyer,2,2,6946436314,4055
46,1623,chat,qop,2,2,6946436314,4055
47,1624,chat,),8,131,6946436314,4055
0,97,chatwheel,71,5,128,6931230918,2183
1,243,chatwheel,71,6,129,6931230918,2183
2,316,chatwheel,71,6,129,6931230918,2183
3,456,chatwheel,71,0,0,6931230918,2183
4,472,chatwheel,71,0,0,6931230918,2183
5,472,chatwheel,71,0,0,6931230918,2183
6,475,chatwheel,71,2,2,6931230918,2183
7,477,chatwheel,71,0,0,6931230918,2183
8,488,chatwheel,71,4,4,6931230918,2183
9,488,chatwheel,71,4,4,6931230918,2183
10,490,chatwheel,71,0,0,6931230918,2183
11,490,chatwheel,71,0,0,6931230918,2183
12,508,chatwheel,71,5,128,6931230918,2183
13,508,chatwheel,71,8,131,6931230918,2183
14,662,chatwheel,71,0,0,6931230918,2183
15,680,chatwheel,71,0,0,6931230918,2183
16,686,chatwheel,71,0,0,6931230918,2183
17,686,chatwheel,71,0,0,6931230918,2183
18,821,chatwheel,453,3,3,6931230918,2183
19,878,chatwheel,71,0,0,6931230918,2183
20,878,chatwheel,71,0,0,6931230918,2183
21,916,chatwheel,7,8,131,6931230918,2183
22,964,chatwheel,460,3,3,6931230918,2183
23,1599,chatwheel,290,3,3,6931230918,2183
24,1651,chatwheel,442,3,3,6931230918,2183
25,1886,chatwheel,71,2,2,6931230918,2183
26,1886,chatwheel,71,2,2,6931230918,2183
27,1979,chatwheel,32001,8,131,6931230918,2183
28,2033,chat,why u walk,9,132,6931230918,2183
29,2035,chat,out,9,132,6931230918,2183
30,2252,chat,GGS,8,131,6931230918,2183
31,2254,chat,haha,5,128,6931230918,2183
32,2256,chat,ggwp,5,128,6931230918,2183
33,2258,chat,ez,5,128,6931230918,2183
0,20,chatwheel,75,2,2,6932150708,3942
1,553,chatwheel,71,2,2,6932150708,3942
2,553,chatwheel,71,2,2,6932150708,3942
3,690,chatwheel,71,3,3,6932150708,3942
4,2618,chatwheel,71,3,3,6932150708,3942
5,2618,chatwheel,71,3,3,6932150708,3942
6,2621,chatwheel,10,3,3,6932150708,3942
7,2993,chatwheel,584,4,4,6932150708,3942
8,2994,chatwheel,588,4,4,6932150708,3942
0,-26,chatwheel,401019,5,128,6947981107,2457
1,421,chatwheel,71,5,128,6947981107,2457
2,429,chatwheel,71,5,128,6947981107,2457
3,432,chatwheel,71,8,131,6947981107,2457
4,561,chatwheel,7,6,129,6947981107,2457
5,612,chatwheel,71,6,129,6947981107,2457
6,709,chatwheel,71,6,129,6947981107,2457
7,710,chatwheel,71,6,129,6947981107,2457
8,762,chatwheel,401019,5,128,6947981107,2457
9,850,chatwheel,401019,5,128,6947981107,2457
10,1514,chatwheel,83002,2,2,6947981107,2457
11,1514,chatwheel,83002,2,2,6947981107,2457
12,2507,chatwheel,401019,5,128,6947981107,2457
13,3030,chatwheel,543,2,2,6947981107,2457
14,3030,chatwheel,543,2,2,6947981107,2457
15,3359,chatwheel,83002,2,2,6947981107,2457
16,3359,chatwheel,83002,2,2,6947981107,2457
17,3960,chatwheel,83002,2,2,6947981107,2457
18,3985,chatwheel,76,5,128,6947981107,2457
19,4007,chat,ggwp,0,0,6947981107,2457
20,4008,chatwheel,543,2,2,6947981107,2457
21,4008,chatwheel,543,2,2,6947981107,2457
22,4009,chat,gg,2,2,6947981107,2457
0,-77,chatwheel,104006,6,129,6947120304,3040
1,-73,chatwheel,5001,8,131,6947120304,3040
2,-61,chatwheel,110002,4,4,6947120304,3040
3,-36,chatwheel,29001,0,0,6947120304,3040
4,2,chatwheel,104004,6,129,6947120304,3040
5,6,chatwheel,104001,6,129,6947120304,3040
6,6,chatwheel,10003,7,130,6947120304,3040
7,8,chatwheel,104002,6,129,6947120304,3040
8,130,chatwheel,10001,7,130,6947120304,3040
9,142,chatwheel,71,3,3,6947120304,3040
10,287,chatwheel,7,7,130,6947120304,3040
11,331,chatwheel,71,8,131,6947120304,3040
12,331,chatwheel,71,8,131,6947120304,3040
13,339,chatwheel,71,3,3,6947120304,3040
14,516,chatwheel,71,3,3,6947120304,3040
15,527,chatwheel,70,4,4,6947120304,3040
16,527,chatwheel,70,4,4,6947120304,3040
17,563,chatwheel,71,3,3,6947120304,3040
18,586,chatwheel,7,7,130,6947120304,3040
19,630,chatwheel,110002,4,4,6947120304,3040
20,641,chatwheel,62,9,132,6947120304,3040
21,659,chatwheel,110002,4,4,6947120304,3040
22,713,chatwheel,71,3,3,6947120304,3040
23,843,chatwheel,29001,0,0,6947120304,3040
24,925,chatwheel,110002,4,4,6947120304,3040
