,time,type,key,slot,player_slot,id,avg_mmr
0,-70,chat,30lvl,7,130,6936072300,3815
1,-13,chatwheel,71,6,129,6936072300,3815
2,109,chatwheel,71,9,132,6936072300,3815
3,110,chatwheel,71,9,132,6936072300,3815
4,357,chatwheel,71,2,2,6936072300,3815
5,526,chatwheel,71,0,0,6936072300,3815
6,526,chatwheel,71,0,0,6936072300,3815
7,536,chatwheel,71,0,0,6936072300,3815
8,536,chatwheel,71,0,0,6936072300,3815
9,697,chatwheel,71,0,0,6936072300,3815
10,697,chatwheel,71,0,0,6936072300,3815
11,970,chatwheel,5,6,129,6936072300,3815
12,971,chatwheel,5,6,129,6936072300,3815
13,972,chatwheel,5,6,129,6936072300,3815
14,973,chatwheel,5,6,129,6936072300,3815
15,1002,chatwheel,71,3,3,6936072300,3815
16,1083,chatwheel,4,6,129,6936072300,3815
17,1332,chatwheel,71,0,0,6936072300,3815
18,1332,chatwheel,71,0,0,6936072300,3815
19,1336,chatwheel,71,0,0,6936072300,3815
20,1336,chatwheel,71,0,0,6936072300,3815
21,2022,chatwheel,2,1,1,6936072300,3815
22,2769,chat,gg,4,4,6936072300,3815
23,2770,chat,[;EASE REP BB AFK BASE,0,0,6936072300,3815
24,2773,chat,PLEASE,0,0,6936072300,3815
25,2855,chat,very bad team,4,4,6936072300,3815
26,2856,chat,gg,4,4,6936072300,3815
27,2916,chat,rep jugg and bb,4,4,6936072300,3815
28,2919,chat,hard noobs,4,4,6936072300,3815
0,17,chatwheel,21001,1,1,6940526019,3667
1,18,chatwheel,21001,1,1,6940526019,3667
2,19,chatwheel,290,1,1,6940526019,3667
3,21,chatwheel,4,0,0,6940526019,3667
4,21,chatwheel,4,0,0,6940526019,3667
5,22,chatwheel,4,9,132,6940526019,3667
6,22,chatwheel,442,1,1,6940526019,3667
7,91,chatwheel,21001,1,1,6940526019,3667
8,92,chatwheel,21001,1,1,6940526019,3667
9,134,chat,rdy,5,128,6940526019,3667
10,134,chat,g,2,2,6940526019,3667
11,134,chat,g,3,3,6940526019,3667
12,842,chatwheel,7,7,130,6940526019,3667
13,850,chat,lags,9,132,6940526019,3667
14,850,chatwheel,290,1,1,6940526019,3667
15,850,chatwheel,442,1,1,6940526019,3667
16,850,chatwheel,21001,1,1,6940526019,3667
17,850,chatwheel,21001,1,1,6940526019,3667
18,850,chat,g,9,132,6940526019,3667
19,850,chat,g,2,2,6940526019,3667
20,850,chat,g,4,4,6940526019,3667
21,2365,chat,gg,2,2,6940526019,3667
22,2369,chat,GG WP,5,128,6940526019,3667
23,2373,chatwheel,442,1,1,6940526019,3667
24,2373,chatwheel,442,1,1,6940526019,3667
25,2374,chat,gg,4,4,6940526019,3667
