,time,type,key,slot,player_slot,id,avg_mmr
0,111,chatwheel,71,6,129,6934170713,4049
1,111,chatwheel,71,6,129,6934170713,4049
2,217,chatwheel,71,7,130,6934170713,4049
3,307,chatwheel,71,7,130,6934170713,4049
4,323,chatwheel,71,6,129,6934170713,4049
5,354,chatwheel,71,7,130,6934170713,4049
6,355,chatwheel,71,7,130,6934170713,4049
7,470,chatwheel,71,0,0,6934170713,4049
8,502,chatwheel,71,0,0,6934170713,4049
9,502,chatwheel,71,0,0,6934170713,4049
10,523,chatwheel,71,0,0,6934170713,4049
11,523,chatwheel,71,0,0,6934170713,4049
12,532,chatwheel,63,1,1,6934170713,4049
13,553,chatwheel,71,7,130,6934170713,4049
14,554,chatwheel,71,7,130,6934170713,4049
15,569,chatwheel,71,5,128,6934170713,4049
16,582,chatwheel,71,0,0,6934170713,4049
17,582,chatwheel,71,0,0,6934170713,4049
18,591,chatwheel,71,5,128,6934170713,4049
19,807,chatwheel,71,0,0,6934170713,4049
20,813,chatwheel,4,5,128,6934170713,4049
21,952,chatwheel,8,5,128,6934170713,4049
22,1353,chatwheel,2,1,1,6934170713,4049
23,1618,chatwheel,76,0,0,6934170713,4049
24,1619,chatwheel,588,6,129,6934170713,4049
25,1620,chatwheel,76,6,129,6934170713,4049
26,1638,chatwheel,7,1,1,6934170713,4049
27,1638,chatwheel,7,1,1,6934170713,4049
28,1639,chatwheel,401151,2,2,6934170713,4049
29,1640,chat,纸片人,5,128,6934170713,4049
30,1650,chatwheel,401151,2,2,6934170713,4049
31,1669,chatwheel,495,2,2,6934170713,4049
0,-69,chat,ле вы нубы ,3,3,6931289315,3360
1,-7,chatwheel,289,9,132,6931289315,3360
2,-4,chatwheel,289,8,131,6931289315,3360
3,-3,chatwheel,471,1,1,6931289315,3360
4,6,chatwheel,289,9,132,6931289315,3360
5,74,chatwheel,289,9,132,6931289315,3360
6,86,chat,chill,6,129,6931289315,3360
7,175,chatwheel,7,2,2,6931289315,3360
8,204,chatwheel,289,9,132,6931289315,3360
9,238,chatwheel,289,9,132,6931289315,3360
10,265,chatwheel,289,9,132,6931289315,3360
11,282,chatwheel,71,9,132,6931289315,3360
12,282,chatwheel,71,9,132,6931289315,3360
13,322,chat,WTF,6,129,6931289315,3360
