,time,type,key,slot,player_slot,id,avg_mmr,unit
0,-64,chatwheel,443,1,1,6942724613,5121,
1,-63,chatwheel,443,1,1,6942724613,5121,
2,-60,chatwheel,7,1,1,6942724613,5121,
3,-60,chatwheel,579,2,2,6942724613,5121,
4,-60,chatwheel,7,1,1,6942724613,5121,
5,-59,chatwheel,350,2,2,6942724613,5121,
6,-56,chatwheel,350,2,2,6942724613,5121,
7,-55,chatwheel,66,1,1,6942724613,5121,
8,-53,chatwheel,579,2,2,6942724613,5121,
9,-51,chatwheel,494,2,2,6942724613,5121,
10,-50,chatwheel,66,1,1,6942724613,5121,
11,-50,chatwheel,66,1,1,6942724613,5121,
12,-48,chatwheel,495,2,2,6942724613,5121,
13,-48,chatwheel,68,1,1,6942724613,5121,
14,-46,chatwheel,493,1,1,6942724613,5121,
15,-45,chatwheel,493,1,1,6942724613,5121,
16,-40,chatwheel,459,4,4,6942724613,5121,
17,-36,chatwheel,1,1,1,6942724613,5121,
18,2,chatwheel,579,2,2,6942724613,5121,
19,138,chatwheel,71,2,2,6942724613,5121,
20,376,chatwheel,9,3,3,6942724613,5121,
21,400,chatwheel,9,3,3,6942724613,5121,
22,425,chatwheel,9,3,3,6942724613,5121,
23,445,chatwheel,9,3,3,6942724613,5121,
24,562,chatwheel,71,4,4,6942724613,5121,
25,589,chatwheel,71,0,0,6942724613,5121,
26,589,chatwheel,71,0,0,6942724613,5121,
27,707,chatwheel,71,2,2,6942724613,5121,
28,770,chatwheel,71,4,4,6942724613,5121,
29,771,chatwheel,71,4,4,6942724613,5121,
30,814,chatwheel,71,4,4,6942724613,5121,
31,903,chat,?,0,0,6942724613,5121,
32,912,chat,win pls,9,132,6942724613,5121,
33,925,chat,outplayed ka bobo,0,0,6942724613,5121,
34,930,chat,let see,9,132,6942724613,5121,
35,958,chatwheel,71,4,4,6942724613,5121,
36,958,chatwheel,71,4,4,6942724613,5121,
37,982,chatwheel,71,4,4,6942724613,5121,
38,1004,chatwheel,6,2,2,6942724613,5121,
39,1058,chatwheel,7,1,1,6942724613,5121,
40,1134,chatwheel,7,1,1,6942724613,5121,
41,1229,chatwheel,7,1,1,6942724613,5121,
42,1285,chatwheel,71,4,4,6942724613,5121,
43,1657,chatwheel,68,1,1,6942724613,5121,
44,1662,chatwheel,493,0,0,6942724613,5121,
45,1828,chatwheel,7,1,1,6942724613,5121,
46,1830,chatwheel,68,1,1,6942724613,5121,
47,1961,chatwheel,68,1,1,6942724613,5121,
48,1981,chat,win pls,9,132,6942724613,5121,
49,1981,chat,?,8,131,6942724613,5121,
50,2056,chat,WIN PLS,9,132,6942724613,5121,
51,2067,chat,BINASURA KITA SA MID TANGA ,0,0,6942724613,5121,
52,2282,chat,kill me,9,132,6942724613,5121,
53,2361,chat,wow,9,132,6942724613,5121,
54,2472,chatwheel,71,3,3,6942724613,5121,
55,2472,chatwheel,71,3,3,6942724613,5121,
