,time,type,key,slot,player_slot,id,avg_mmr
0,-76,chatwheel,35001,0,0,6934349211,3713
1,-59,chatwheel,105001,2,2,6934349211,3713
2,143,chatwheel,71,1,1,6934349211,3713
3,205,chatwheel,105001,2,2,6934349211,3713
4,269,chatwheel,1,4,4,6934349211,3713
5,283,chatwheel,454,1,1,6934349211,3713
6,284,chatwheel,582,2,2,6934349211,3713
7,285,chatwheel,105001,2,2,6934349211,3713
8,306,chatwheel,10,1,1,6934349211,3713
9,351,chatwheel,8,4,4,6934349211,3713
10,353,chatwheel,1,4,4,6934349211,3713
11,381,chatwheel,71,1,1,6934349211,3713
12,382,chatwheel,71,5,128,6934349211,3713
13,382,chatwheel,71,5,128,6934349211,3713
14,411,chatwheel,10,1,1,6934349211,3713
15,418,chatwheel,10,1,1,6934349211,3713
16,448,chatwheel,442,1,1,6934349211,3713
17,449,chatwheel,479,1,1,6934349211,3713
18,450,chatwheel,7,4,4,6934349211,3713
19,533,chatwheel,105001,2,2,6934349211,3713
20,538,chatwheel,71,5,128,6934349211,3713
21,550,chatwheel,7,4,4,6934349211,3713
22,554,chatwheel,10,1,1,6934349211,3713
23,557,chatwheel,71,1,1,6934349211,3713
24,622,chatwheel,1,2,2,6934349211,3713
25,642,chatwheel,10,1,1,6934349211,3713
26,683,chatwheel,71,5,128,6934349211,3713
27,683,chatwheel,71,5,128,6934349211,3713
28,767,chatwheel,35002,0,0,6934349211,3713
29,768,chatwheel,71,1,1,6934349211,3713
30,777,chatwheel,71,9,132,6934349211,3713
31,777,chatwheel,71,9,132,6934349211,3713
32,778,chatwheel,7,2,2,6934349211,3713
33,782,chatwheel,30001,4,4,6934349211,3713
34,824,chatwheel,105001,2,2,6934349211,3713
35,828,chatwheel,10,1,1,6934349211,3713
36,1126,chatwheel,71,0,0,6934349211,3713
37,1360,chatwheel,61,1,1,6934349211,3713
38,1494,chatwheel,68,0,0,6934349211,3713
39,1696,chatwheel,105001,2,2,6934349211,3713
40,1724,chatwheel,30,1,1,6934349211,3713
41,1742,chatwheel,30,1,1,6934349211,3713
42,1753,chatwheel,105001,2,2,6934349211,3713
43,1875,chatwheel,61,1,1,6934349211,3713
44,1900,chatwheel,61,1,1,6934349211,3713
45,1901,chatwheel,442,2,2,6934349211,3713
46,1902,chatwheel,442,2,2,6934349211,3713
47,1902,chatwheel,442,1,1,6934349211,3713
48,1903,chatwheel,442,1,1,6934349211,3713
49,1926,chatwheel,1,2,2,6934349211,3713
50,2005,chatwheel,105001,2,2,6934349211,3713
51,2015,chatwheel,2,2,2,6934349211,3713
52,2016,chatwheel,1,1,1,6934349211,3713
53,2479,chatwheel,1,1,1,6934349211,3713
54,2497,chatwheel,105001,2,2,6934349211,3713
55,2503,chatwheel,105001,2,2,6934349211,3713
56,2584,chatwheel,105001,2,2,6934349211,3713
57,2618,chatwheel,6,2,2,6934349211,3713
58,2618,chatwheel,6,2,2,6934349211,3713
59,2664,chatwheel,71,4,4,6934349211,3713
60,2678,chatwheel,2,4,4,6934349211,3713
61,2777,chatwheel,1,1,1,6934349211,3713
62,2778,chatwheel,1,1,1,6934349211,3713
63,2785,chatwheel,105001,2,2,6934349211,3713
64,3017,chatwheel,71,2,2,6934349211,3713
65,3017,chatwheel,71,2,2,6934349211,3713
66,3079,chatwheel,1,4,4,6934349211,3713
67,3093,chatwheel,2,2,2,6934349211,3713
68,3101,chatwheel,7,2,2,6934349211,3713
69,3101,chatwheel,7,2,2,6934349211,3713
70,3114,chatwheel,71,5,128,6934349211,3713
71,3114,chatwheel,71,5,128,6934349211,3713
72,3212,chatwheel,7,0,0,6934349211,3713
73,3213,chatwheel,105002,2,2,6934349211,3713
74,3213,chatwheel,105001,2,2,6934349211,3713
75,3365,chatwheel,5,4,4,6934349211,3713
0,-26,chatwheel,14002,3,3,6948516500,3476
1,-26,chatwheel,71,9,132,6948516500,3476
2,-24,chatwheel,7,3,3,6948516500,3476
3,185,chatwheel,71,8,131,6948516500,3476
4,224,chatwheel,71,6,129,6948516500,3476
5,224,chatwheel,71,6,129,6948516500,3476
6,291,chatwheel,71,8,131,6948516500,3476
7,291,chatwheel,71,8,131,6948516500,3476
8,385,chatwheel,71,8,131,6948516500,3476
9,386,chatwheel,71,8,131,6948516500,3476
10,402,chatwheel,7,7,130,6948516500,3476
11,403,chatwheel,7,7,130,6948516500,3476
12,414,chatwheel,71,6,129,6948516500,3476
13,522,chatwheel,2,3,3,6948516500,3476
14,549,chatwheel,14001,3,3,6948516500,3476
15,616,chat,XD,6,129,6948516500,3476
16,619,chat,Q MRDA,6,129,6948516500,3476
17,624,chat,SOLO FALTAB EL CURIER QEU TEPEE,6,129,6948516500,3476
18,626,chat,muere hd,2,2,6948516500,3476
19,627,chat,hdp,2,2,6948516500,3476
20,657,chatwheel,14001,3,3,6948516500,3476
21,658,chatwheel,14001,3,3,6948516500,3476
22,831,chatwheel,71,1,1,6948516500,3476
23,1203,chatwheel,7,1,1,6948516500,3476
24,1262,chat,xd,2,2,6948516500,3476
25,1440,chat,TEAM ARCONTE,6,129,6948516500,3476
26,1451,chat,tu que eres?,2,2,6948516500,3476
27,1562,chatwheel,7,7,130,6948516500,3476
28,1934,chatwheel,1,7,130,6948516500,3476
