,time,type,key,slot,player_slot,id,avg_mmr
0,296,chatwheel,71,2,2,6940229518,4375
1,353,chatwheel,71,2,2,6940229518,4375
2,360,chatwheel,71,2,2,6940229518,4375
3,384,chatwheel,11,7,130,6940229518,4375
4,401,chatwheel,71,0,0,6940229518,4375
5,420,chatwheel,71,2,2,6940229518,4375
6,428,chatwheel,71,0,0,6940229518,4375
7,449,chatwheel,71,2,2,6940229518,4375
8,481,chatwheel,71,2,2,6940229518,4375
9,490,chatwheel,71,5,128,6940229518,4375
10,490,chatwheel,71,5,128,6940229518,4375
11,498,chatwheel,71,5,128,6940229518,4375
12,498,chatwheel,71,5,128,6940229518,4375
13,546,chatwheel,71,0,0,6940229518,4375
14,554,chatwheel,132,5,128,6940229518,4375
15,607,chatwheel,11,7,130,6940229518,4375
16,881,chatwheel,2,1,1,6940229518,4375
17,1007,chatwheel,7,9,132,6940229518,4375
18,1990,chatwheel,2,1,1,6940229518,4375
19,2009,chatwheel,473,4,4,6940229518,4375
20,2115,chatwheel,2,3,3,6940229518,4375
21,2230,chatwheel,132,5,128,6940229518,4375
22,2236,chatwheel,7,9,132,6940229518,4375
23,2256,chatwheel,2,1,1,6940229518,4375
24,2299,chatwheel,7,9,132,6940229518,4375
25,2510,chatwheel,7,9,132,6940229518,4375
26,2715,chatwheel,2,3,3,6940229518,4375
27,2805,chatwheel,141318,1,1,6940229518,4375
28,2999,chatwheel,68,2,2,6940229518,4375
29,3016,chatwheel,71,2,2,6940229518,4375
30,3016,chatwheel,71,2,2,6940229518,4375
31,3139,chatwheel,66,5,128,6940229518,4375
32,3187,chat,Gg wp,9,132,6940229518,4375
33,3187,chatwheel,71,2,2,6940229518,4375
34,3280,chat,wtf lol,9,132,6940229518,4375
35,3291,chatwheel,54,5,128,6940229518,4375
36,3451,chat,wait,9,132,6940229518,4375
37,3454,chat,i have to tell you something,9,132,6940229518,4375
38,3493,chat,gg,5,128,6940229518,4375
39,3496,chat,gg,4,4,6940229518,4375
40,3496,chat,GG,3,3,6940229518,4375
41,3496,chat,nt guys,9,132,6940229518,4375
42,3503,chat,ez,0,0,6940229518,4375
0,4,chatwheel,102001,6,129,6939190014,6196
1,9,chatwheel,102002,6,129,6939190014,6196
2,81,chatwheel,50,6,129,6939190014,6196
3,143,chatwheel,10,1,1,6939190014,6196
4,241,chatwheel,102001,6,129,6939190014,6196
5,391,chatwheel,102001,6,129,6939190014,6196
6,893,chatwheel,102001,6,129,6939190014,6196
7,978,chatwheel,71,6,129,6939190014,6196
8,979,chatwheel,71,6,129,6939190014,6196
9,1039,chatwheel,102001,6,129,6939190014,6196
10,1076,chatwheel,102001,6,129,6939190014,6196
11,1476,chatwheel,63001,7,130,6939190014,6196
12,1476,chatwheel,63001,7,130,6939190014,6196
13,1476,chatwheel,102001,6,129,6939190014,6196
14,1553,chatwheel,102001,6,129,6939190014,6196
15,1721,chatwheel,102001,6,129,6939190014,6196
16,1840,chatwheel,102002,6,129,6939190014,6196
17,2264,chatwheel,102001,6,129,6939190014,6196
18,2279,chat,orchid,7,130,6939190014,6196
19,2280,chatwheel,63001,7,130,6939190014,6196
20,2280,chatwheel,63001,7,130,6939190014,6196
21,2281,chatwheel,102001,6,129,6939190014,6196
22,2284,chat,feeling core,7,130,6939190014,6196
23,2437,chatwheel,583,2,2,6939190014,6196
24,2473,chatwheel,102001,6,129,6939190014,6196
25,2491,chatwheel,102001,6,129,6939190014,6196
26,2504,chatwheel,102001,6,129,6939190014,6196
27,2545,chatwheel,102001,6,129,6939190014,6196
0,1,chatwheel,8,0,0,6944507204,3244
1,267,chatwheel,71,7,130,6944507204,3244
2,267,chatwheel,71,7,130,6944507204,3244
3,912,chatwheel,76,5,128,6944507204,3244
4,2549,chat,家,0,0,6944507204,3244
5,2556,chat,sharen ,9,132,6944507204,3244
0,-82,chatwheel,105001,9,132,6940406919,2485
1,-82,chatwheel,105001,9,132,6940406919,2485
2,-17,chatwheel,44001,5,128,6940406919,2485
3,-15,chatwheel,44001,5,128,6940406919,2485
4,-14,chatwheel,105002,9,132,6940406919,2485
5,-14,chatwheel,105002,9,132,6940406919,2485
6,-11,chatwheel,82001,4,4,6940406919,2485
7,31,chatwheel,82001,4,4,6940406919,2485
8,84,chatwheel,71,9,132,6940406919,2485
9,255,chatwheel,71,7,130,6940406919,2485
10,373,chatwheel,71,4,4,6940406919,2485
11,400,chatwheel,71,4,4,6940406919,2485
12,439,chatwheel,71,4,4,6940406919,2485
13,459,chatwheel,71,4,4,6940406919,2485
14,499,chatwheel,71,4,4,6940406919,2485
15,540,chatwheel,2,0,0,6940406919,2485
16,540,chatwheel,2,0,0,6940406919,2485
17,544,chatwheel,44003,5,128,6940406919,2485
18,634,chatwheel,1,0,0,6940406919,2485
19,753,chatwheel,5,9,132,6940406919,2485
20,753,chatwheel,5,9,132,6940406919,2485
21,789,chatwheel,105001,9,132,6940406919,2485
22,789,chatwheel,105001,9,132,6940406919,2485
23,813,chatwheel,105004,9,132,6940406919,2485
24,816,chatwheel,44001,5,128,6940406919,2485
25,818,chatwheel,7,4,4,6940406919,2485
26,822,chatwheel,82001,4,4,6940406919,2485
27,844,chatwheel,105004,9,132,6940406919,2485
28,1007,chatwheel,5,0,0,6940406919,2485
29,1020,chatwheel,105004,9,132,6940406919,2485
30,1020,chatwheel,105004,9,132,6940406919,2485
31,1056,chatwheel,4,0,0,6940406919,2485
32,1074,chatwheel,62,4,4,6940406919,2485
33,1074,chatwheel,62,4,4,6940406919,2485
34,1143,chatwheel,105004,9,132,6940406919,2485
35,1222,chatwheel,44003,5,128,6940406919,2485
36,1431,chatwheel,5,9,132,6940406919,2485
37,1451,chatwheel,44003,5,128,6940406919,2485
38,1454,chatwheel,105004,9,132,6940406919,2485
39,1456,chatwheel,27003,6,129,6940406919,2485
40,1469,chatwheel,11008,7,130,6940406919,2485
41,1633,chatwheel,44003,5,128,6940406919,2485
42,1640,chatwheel,9,5,128,6940406919,2485
43,1656,chatwheel,105004,9,132,6940406919,2485
44,1657,chatwheel,105003,9,132,6940406919,2485
45,1659,chatwheel,9,5,128,6940406919,2485
46,1660,chatwheel,44003,5,128,6940406919,2485
47,1673,chat,GG,5,128,6940406919,2485
48,1691,chat,jungle meepo kek,5,128,6940406919,2485
