,time,type,key,slot,player_slot,id,avg_mmr
0,345,chatwheel,71,4,4,6931913400,3686
1,345,chatwheel,71,4,4,6931913400,3686
2,681,chat,发生了啥,5,128,6931913400,3686
3,788,chat,tf,5,128,6931913400,3686
4,789,chat,放弃吧,5,128,6931913400,3686
0,-64,chatwheel,41001,0,0,6933636201,2437
1,-60,chatwheel,73001,4,4,6933636201,2437
2,-59,chatwheel,73002,4,4,6933636201,2437
3,-54,chat,да я думал я 5ка,4,4,6933636201,2437
4,-46,chatwheel,41001,0,0,6933636201,2437
5,61,chatwheel,65,0,0,6933636201,2437
6,111,chatwheel,7,9,132,6933636201,2437
7,160,chatwheel,586,4,4,6933636201,2437
8,293,chatwheel,41001,0,0,6933636201,2437
9,307,chatwheel,7,9,132,6933636201,2437
10,324,chatwheel,71,1,1,6933636201,2437
11,356,chatwheel,7,8,131,6933636201,2437
12,448,chatwheel,71,7,130,6933636201,2437
13,448,chatwheel,71,7,130,6933636201,2437
14,453,chatwheel,62,0,0,6933636201,2437
15,455,chatwheel,76,9,132,6933636201,2437
16,458,chatwheel,575,6,129,6933636201,2437
17,493,chatwheel,71,9,132,6933636201,2437
18,494,chatwheel,71,9,132,6933636201,2437
19,568,chatwheel,470,0,0,6933636201,2437
20,897,chatwheel,76,5,128,6933636201,2437
21,986,chatwheel,41001,0,0,6933636201,2437
22,1040,chatwheel,62,0,0,6933636201,2437
23,1048,chatwheel,7,8,131,6933636201,2437
24,1049,chatwheel,470,0,0,6933636201,2437
25,1115,chatwheel,71,7,130,6933636201,2437
26,1118,chatwheel,71,6,129,6933636201,2437
27,1118,chatwheel,71,6,129,6933636201,2437
28,1152,chatwheel,470,0,0,6933636201,2437
29,1234,chatwheel,470,0,0,6933636201,2437
30,1234,chatwheel,76,3,3,6933636201,2437
31,1410,chatwheel,62,3,3,6933636201,2437
32,1484,chatwheel,76,9,132,6933636201,2437
33,1486,chatwheel,470,0,0,6933636201,2437
34,1486,chatwheel,470,0,0,6933636201,2437
35,1487,chatwheel,76,3,3,6933636201,2437
36,1488,chatwheel,344,3,3,6933636201,2437
37,1489,chat,легчайшая для тинкера,9,132,6933636201,2437
38,1498,chat,хуесос просто на клинкзе сорри,9,132,6933636201,2437
39,1513,chat,нихуясибе,7,130,6933636201,2437
40,1518,chat,фантомка без бкб на 25,7,130,6933636201,2437
41,1522,chat,19/0 2/5,9,132,6933636201,2437
42,1522,chat,чета пишет,7,130,6933636201,2437
43,1524,chat,:D,7,130,6933636201,2437
44,1557,chatwheel,62,0,0,6933636201,2437
45,1585,chatwheel,76,9,132,6933636201,2437
46,1617,chatwheel,76,9,132,6933636201,2437
47,1673,chat,снесите с такой шлюхой на клинкзе нет смысла играть шалава в тотал мид проебала,9,132,6933636201,2437
48,1688,chat,ну че ты,1,1,6933636201,2437
49,1690,chat,играй,1,1,6933636201,2437
50,1693,chat,мб выграешь,1,1,6933636201,2437
51,1697,chatwheel,76,9,132,6933636201,2437
52,1699,chat,ща те пизда тинкер,7,130,6933636201,2437
53,1704,chat,фантомка разхуярит,7,130,6933636201,2437
54,1705,chat,жди,7,130,6933636201,2437
55,1801,chat,ну,1,1,6933636201,2437
56,1803,chat,пизди,1,1,6933636201,2437
57,1805,chat,их,1,1,6933636201,2437
