,time,type,key,slot,player_slot,id,avg_mmr
0,-72,chatwheel,465,1,1,6934883105,1009
1,-68,chatwheel,290,7,130,6934883105,1009
2,-67,chatwheel,104001,2,2,6934883105,1009
3,-67,chatwheel,104001,2,2,6934883105,1009
4,-63,chatwheel,476,4,4,6934883105,1009
5,-56,chatwheel,470,4,4,6934883105,1009
6,-49,chatwheel,493,7,130,6934883105,1009
7,-28,chatwheel,467,1,1,6934883105,1009
8,-28,chatwheel,104002,2,2,6934883105,1009
9,-28,chatwheel,104002,2,2,6934883105,1009
10,36,chatwheel,465,1,1,6934883105,1009
11,65,chatwheel,32001,1,1,6934883105,1009
12,78,chatwheel,104001,2,2,6934883105,1009
13,78,chatwheel,104001,2,2,6934883105,1009
14,88,chat,,7,130,6934883105,1009
15,94,chatwheel,459,1,1,6934883105,1009
16,97,chatwheel,493,7,130,6934883105,1009
17,108,chatwheel,459,1,1,6934883105,1009
18,135,chat,зачем ты кемпы банишь?,6,129,6934883105,1009
19,139,chat,я не хочу потеть,6,129,6934883105,1009
20,148,chatwheel,104001,2,2,6934883105,1009
21,169,chatwheel,104001,2,2,6934883105,1009
22,198,chatwheel,7,1,1,6934883105,1009
23,235,chatwheel,467,1,1,6934883105,1009
24,246,chatwheel,459,1,1,6934883105,1009
25,326,chatwheel,32002,1,1,6934883105,1009
26,326,chatwheel,32002,1,1,6934883105,1009
27,383,chatwheel,71,7,130,6934883105,1009
28,441,chat,),8,131,6934883105,1009
29,468,chatwheel,104001,2,2,6934883105,1009
30,468,chatwheel,104001,2,2,6934883105,1009
31,478,chatwheel,71,0,0,6934883105,1009
32,499,chatwheel,85001,8,131,6934883105,1009
33,513,chatwheel,71,5,128,6934883105,1009
34,532,chatwheel,104001,2,2,6934883105,1009
35,532,chatwheel,104001,2,2,6934883105,1009
36,559,chatwheel,85002,8,131,6934883105,1009
37,585,chat,...,1,1,6934883105,1009
38,767,chatwheel,104001,2,2,6934883105,1009
39,767,chatwheel,104001,2,2,6934883105,1009
40,1017,chatwheel,85002,8,131,6934883105,1009
41,1136,chatwheel,104001,2,2,6934883105,1009
42,1230,chatwheel,110001,4,4,6934883105,1009
43,1245,chatwheel,32001,1,1,6934883105,1009
44,1245,chatwheel,32001,1,1,6934883105,1009
45,1264,chatwheel,32009,1,1,6934883105,1009
46,1299,chatwheel,7,1,1,6934883105,1009
47,1359,chatwheel,110002,4,4,6934883105,1009
48,1364,chatwheel,476,4,4,6934883105,1009
49,1437,chatwheel,7,1,1,6934883105,1009
50,1535,chatwheel,104001,2,2,6934883105,1009
51,1535,chatwheel,104001,2,2,6934883105,1009
52,1811,chat,...,1,1,6934883105,1009
53,1826,chatwheel,104001,2,2,6934883105,1009
54,1826,chatwheel,104001,2,2,6934883105,1009
55,1938,chatwheel,104001,2,2,6934883105,1009
56,1938,chatwheel,104001,2,2,6934883105,1009
57,1980,chatwheel,104001,2,2,6934883105,1009
58,1983,chatwheel,104001,2,2,6934883105,1009
59,1987,chatwheel,32004,1,1,6934883105,1009
60,2488,chatwheel,110001,4,4,6934883105,1009
61,2493,chatwheel,575,4,4,6934883105,1009
62,2537,chatwheel,76,7,130,6934883105,1009
63,2539,chatwheel,104001,2,2,6934883105,1009
64,2539,chatwheel,104002,2,2,6934883105,1009
65,2540,chatwheel,468,4,4,6934883105,1009
66,2541,chatwheel,76,4,4,6934883105,1009
67,2543,chatwheel,575,3,3,6934883105,1009
68,2543,chatwheel,575,3,3,6934883105,1009
0,-27,chatwheel,62,0,0,6948337114,6767
1,-8,chatwheel,76,5,128,6948337114,6767
2,-7,chatwheel,76,5,128,6948337114,6767
3,25,chatwheel,129001,5,128,6948337114,6767
4,48,chatwheel,62,3,3,6948337114,6767
5,174,chatwheel,86003,7,130,6948337114,6767
6,189,chatwheel,71,3,3,6948337114,6767
7,189,chatwheel,71,3,3,6948337114,6767
8,201,chatwheel,0,7,130,6948337114,6767
9,217,chatwheel,71,0,0,6948337114,6767
10,217,chatwheel,71,0,0,6948337114,6767
11,264,chatwheel,473,3,3,6948337114,6767
12,271,chat,dog,4,4,6948337114,6767
13,274,chat,dog =)),8,131,6948337114,6767
14,276,chatwheel,86007,7,130,6948337114,6767
15,278,chatwheel,129001,5,128,6948337114,6767
16,280,chat,last time i play pango rape u like dog,8,131,6948337114,6767
17,283,chat,u still cant talk anything,8,131,6948337114,6767
18,284,chat,now u talk,8,131,6948337114,6767
19,285,chat,xDD?,8,131,6948337114,6767
20,287,chat,=)),8,131,6948337114,6767
21,289,chat,see last time ember,8,131,6948337114,6767
22,291,chat,who paly pango,8,131,6948337114,6767
23,295,chat,rape like dog at mid,8,131,6948337114,6767
24,303,chat,low rank,8,131,6948337114,6767
25,304,chatwheel,76,5,128,6948337114,6767
26,304,chatwheel,76,5,128,6948337114,6767
27,304,chatwheel,86001,7,130,6948337114,6767
28,339,chatwheel,71,6,129,6948337114,6767
29,381,chat,poor brain like a dog,8,131,6948337114,6767
30,381,chatwheel,76,5,128,6948337114,6767
31,384,chat,know only play 1 hero right?,8,131,6948337114,6767
32,386,chat,1000 dog,4,4,6948337114,6767
33,389,chat,哈哈,4,4,6948337114,6767
34,390,chat,haha,4,4,6948337114,6767
35,391,chatwheel,473,3,3,6948337114,6767
36,392,chatwheel,64,3,3,6948337114,6767
37,396,chatwheel,50,0,0,6948337114,6767
38,398,chat,need raindrop?,8,131,6948337114,6767
39,406,chatwheel,129001,5,128,6948337114,6767
40,432,chatwheel,76,5,128,6948337114,6767
41,483,chatwheel,289,8,131,6948337114,6767
42,516,chatwheel,0,7,130,6948337114,6767
43,550,chatwheel,0,7,130,6948337114,6767
44,550,chat,?,8,131,6948337114,6767
45,552,chat,?,8,131,6948337114,6767
46,552,chat,trash like a fucking dog,8,131,6948337114,6767
47,560,chat,400 rank till deads on,8,131,6948337114,6767
48,612,chatwheel,289,8,131,6948337114,6767
49,640,chatwheel,71,6,129,6948337114,6767
50,640,chatwheel,71,6,129,6948337114,6767
51,657,chatwheel,71,2,2,6948337114,6767
52,657,chatwheel,71,2,2,6948337114,6767
53,707,chatwheel,58,0,0,6948337114,6767
54,707,chatwheel,58,0,0,6948337114,6767
55,738,chatwheel,289,8,131,6948337114,6767
56,758,chatwheel,473,3,3,6948337114,6767
57,764,chatwheel,71,1,1,6948337114,6767
58,764,chatwheel,71,1,1,6948337114,6767
59,807,chatwheel,473,3,3,6948337114,6767
60,967,chatwheel,473,3,3,6948337114,6767
61,967,chatwheel,76,5,128,6948337114,6767
62,988,chatwheel,473,3,3,6948337114,6767
63,990,chatwheel,289,8,131,6948337114,6767
64,1038,chatwheel,473,3,3,6948337114,6767
65,1041,chat,dog low rank,8,131,6948337114,6767
66,1041,chat,so good ah?,8,131,6948337114,6767
67,1042,chat,EZ DOG,4,4,6948337114,6767
68,1044,chat,1000 DOG,4,4,6948337114,6767
69,1063,chatwheel,62,3,3,6948337114,6767
70,1076,chatwheel,76001,3,3,6948337114,6767
71,1087,chatwheel,71,3,3,6948337114,6767
72,1108,chatwheel,473,3,3,6948337114,6767
73,1111,chatwheel,473,3,3,6948337114,6767
74,1141,chatwheel,7,2,2,6948337114,6767
75,1199,chatwheel,473,3,3,6948337114,6767
76,1211,chatwheel,473,3,3,6948337114,6767
77,1212,chatwheel,129001,5,128,6948337114,6767
78,1225,chatwheel,349,7,130,6948337114,6767
79,1226,chatwheel,460,7,130,6948337114,6767
80,1228,chatwheel,460,7,130,6948337114,6767
81,1289,chatwheel,71,3,3,6948337114,6767
82,1290,chatwheel,473,3,3,6948337114,6767
83,1353,chatwheel,71,5,128,6948337114,6767
84,1353,chatwheel,71,5,128,6948337114,6767
85,1441,chatwheel,0,3,3,6948337114,6767
86,1565,chatwheel,71,0,0,6948337114,6767
87,1610,chatwheel,76001,3,3,6948337114,6767
88,1610,chatwheel,76001,3,3,6948337114,6767
89,1670,chatwheel,473,3,3,6948337114,6767
90,1671,chatwheel,290,7,130,6948337114,6767
91,1672,chat,?,4,4,6948337114,6767
92,1672,chatwheel,473,3,3,6948337114,6767
93,1674,chat,EZ DOG,4,4,6948337114,6767
94,1674,chat,dog low rank,8,131,6948337114,6767
95,1674,chat,so good,8,131,6948337114,6767
96,1697,chat,1000 DOG,4,4,6948337114,6767
97,1698,chat,SO EZ,4,4,6948337114,6767
98,1702,chat,1000?,8,131,6948337114,6767
99,1703,chat,xDD?,8,131,6948337114,6767
100,1711,chat,OH  900,4,4,6948337114,6767
101,1716,chat,900?,8,131,6948337114,6767
102,1716,chat,908 SRY,4,4,6948337114,6767
103,1717,chat,=)),8,131,6948337114,6767
104,1725,chat,rank low like dog,8,131,6948337114,6767
105,1727,chatwheel,68,0,0,6948337114,6767
106,1727,chatwheel,68,0,0,6948337114,6767
107,1729,chat,still call number for wat?,8,131,6948337114,6767
108,1731,chat,=)),8,131,6948337114,6767
109,1759,chatwheel,71,5,128,6948337114,6767
110,1759,chatwheel,71,5,128,6948337114,6767
111,1782,chatwheel,289,8,131,6948337114,6767
112,1784,chatwheel,290,7,130,6948337114,6767
113,1784,chatwheel,292,7,130,6948337114,6767
114,1863,chatwheel,6,8,131,6948337114,6767
115,1967,chatwheel,70001,1,1,6948337114,6767
116,1972,chatwheel,2,3,3,6948337114,6767
117,1979,chatwheel,0,3,3,6948337114,6767
118,2027,chatwheel,473,3,3,6948337114,6767
119,2029,chatwheel,473,3,3,6948337114,6767
120,2113,chat,?,4,4,6948337114,6767
121,2114,chatwheel,129001,5,128,6948337114,6767
122,2115,chatwheel,290,7,130,6948337114,6767
123,2115,chat,dog low rank so good,8,131,6948337114,6767
124,2120,chatwheel,290,7,130,6948337114,6767
125,2121,chat,908 GOD,4,4,6948337114,6767
126,2123,chat,SO EZ,4,4,6948337114,6767
127,2187,chatwheel,473,3,3,6948337114,6767
128,2188,chatwheel,473,3,3,6948337114,6767
129,2193,chatwheel,86001,7,130,6948337114,6767
