,time,type,key,slot,player_slot,id,avg_mmr,unit
0,-15,chatwheel,76002,7,130,6636103815,3270,
1,-10,chatwheel,68002,8,131,6636103815,3270,
2,17,chatwheel,7,6,129,6636103815,3270,
3,46,chatwheel,136001,9,132,6636103815,3270,
4,354,chatwheel,60001,4,4,6636103815,3270,
5,354,chatwheel,60001,4,4,6636103815,3270,
6,480,chatwheel,71,8,131,6636103815,3270,
7,481,chatwheel,71,8,131,6636103815,3270,
8,668,chatwheel,60001,4,4,6636103815,3270,
9,738,chatwheel,132,3,3,6636103815,3270,
10,755,chatwheel,76001,7,130,6636103815,3270,
11,755,chatwheel,76001,7,130,6636103815,3270,
12,1765,chatwheel,8005,0,0,6636103815,3270,
13,1804,chatwheel,136002,9,132,6636103815,3270,
14,1895,chat,морф,4,4,6636103815,3270,
15,1898,chat,брат,4,4,6636103815,3270,
16,1912,chat,он ол мут играет,6,129,6636103815,3270,
17,1916,chat,(,4,4,6636103815,3270,
18,2093,chatwheel,60002,4,4,6636103815,3270,
19,2258,chatwheel,76,9,132,6636103815,3270,
20,2282,chatwheel,76,7,130,6636103815,3270,
21,2308,chatwheel,76,4,4,6636103815,3270,
0,-78,chatwheel,14001,8,131,6636103810,3572,
1,-78,chatwheel,14001,8,131,6636103810,3572,
2,-41,chatwheel,14001,8,131,6636103810,3572,
3,-40,chatwheel,14001,8,131,6636103810,3572,
4,-33,chatwheel,119001,7,130,6636103810,3572,
5,-31,chatwheel,99001,9,132,6636103810,3572,
6,-29,chatwheel,99001,9,132,6636103810,3572,
7,-27,chatwheel,411,7,130,6636103810,3572,
8,26,chatwheel,99001,9,132,6636103810,3572,
9,27,chatwheel,99001,9,132,6636103810,3572,
10,27,chatwheel,14001,8,131,6636103810,3572,
11,27,chatwheel,14001,8,131,6636103810,3572,
12,122,chatwheel,14001,8,131,6636103810,3572,
13,122,chatwheel,14001,8,131,6636103810,3572,
14,214,chatwheel,3,4,4,6636103810,3572,
15,268,chatwheel,14001,8,131,6636103810,3572,
16,268,chatwheel,14001,8,131,6636103810,3572,
17,326,chatwheel,71,8,131,6636103810,3572,
18,326,chatwheel,71,8,131,6636103810,3572,
19,496,chatwheel,71,0,0,6636103810,3572,
20,547,chat,УЕБИЩЕ,6,129,6636103810,3572,
21,554,chatwheel,14001,8,131,6636103810,3572,
22,554,chatwheel,14001,8,131,6636103810,3572,
23,555,chatwheel,71,2,2,6636103810,3572,
24,555,chatwheel,71,2,2,6636103810,3572,
25,676,chatwheel,71,8,131,6636103810,3572,
26,677,chatwheel,71,8,131,6636103810,3572,
27,792,chatwheel,14001,8,131,6636103810,3572,
28,795,chatwheel,99002,9,132,6636103810,3572,
29,797,chatwheel,119002,7,130,6636103810,3572,
30,941,chatwheel,14001,8,131,6636103810,3572,
31,975,chatwheel,14001,8,131,6636103810,3572,
32,975,chatwheel,14001,8,131,6636103810,3572,
33,979,chatwheel,99002,9,132,6636103810,3572,
34,1030,chatwheel,14001,8,131,6636103810,3572,
35,1133,chatwheel,14001,8,131,6636103810,3572,
36,1133,chatwheel,14001,8,131,6636103810,3572,
37,1214,chatwheel,2,1,1,6636103810,3572,
38,1218,chatwheel,14001,8,131,6636103810,3572,
39,1218,chatwheel,14001,8,131,6636103810,3572,
40,1286,chatwheel,14001,8,131,6636103810,3572,
41,1286,chatwheel,14001,8,131,6636103810,3572,
42,1405,chatwheel,14001,8,131,6636103810,3572,
43,1406,chatwheel,14001,8,131,6636103810,3572,
44,1530,chatwheel,84001,5,128,6636103810,3572,
45,1532,chatwheel,14001,8,131,6636103810,3572,
46,1532,chatwheel,14001,8,131,6636103810,3572,
47,1532,chatwheel,99001,9,132,6636103810,3572,
48,1532,chatwheel,99001,9,132,6636103810,3572,
49,1573,chatwheel,14002,8,131,6636103810,3572,
50,1573,chatwheel,14002,8,131,6636103810,3572,
51,1830,chat,ХУЕТА ПОДСОСНАЯ,6,129,6636103810,3572,
52,1834,chat,ВЫЛЕЗЛА БЛЯТЬ,6,129,6636103810,3572,
53,1839,chat,нищееб,6,129,6636103810,3572,
54,1859,chat,бкб можешь в очко себе засунуть,6,129,6636103810,3572,
55,1863,chat,ютубо генипй,6,129,6636103810,3572,
56,1922,chatwheel,14001,8,131,6636103810,3572,
57,2048,chatwheel,84001,5,128,6636103810,3572,
58,2052,chatwheel,14001,8,131,6636103810,3572,
59,2052,chatwheel,14001,8,131,6636103810,3572,
60,2119,chatwheel,14002,8,131,6636103810,3572,
61,2142,chatwheel,14002,8,131,6636103810,3572,
62,2260,chatwheel,14001,8,131,6636103810,3572,
63,2260,chatwheel,14001,8,131,6636103810,3572,
64,2423,chatwheel,14001,8,131,6636103810,3572,
65,2423,chatwheel,14001,8,131,6636103810,3572,
66,2486,chatwheel,14001,8,131,6636103810,3572,
67,2486,chatwheel,14001,8,131,6636103810,3572,
68,2570,chatwheel,14001,8,131,6636103810,3572,
69,2570,chatwheel,14001,8,131,6636103810,3572,
70,2750,chatwheel,14001,8,131,6636103810,3572,
71,2750,chatwheel,14001,8,131,6636103810,3572,
72,3056,chatwheel,14001,8,131,6636103810,3572,
73,3056,chatwheel,14001,8,131,6636103810,3572,
74,3090,chatwheel,14001,8,131,6636103810,3572,
75,3090,chatwheel,14001,8,131,6636103810,3572,
76,3133,chatwheel,14001,8,131,6636103810,3572,
77,3157,chatwheel,2,1,1,6636103810,3572,
78,3168,chatwheel,9,1,1,6636103810,3572,
79,3169,chatwheel,2,1,1,6636103810,3572,
80,3170,chatwheel,2,1,1,6636103810,3572,
81,3171,chatwheel,2,1,1,6636103810,3572,
82,3174,chatwheel,2,1,1,6636103810,3572,
83,3175,chatwheel,2,1,1,6636103810,3572,
84,3266,chatwheel,14002,8,131,6636103810,3572,
85,3347,chat,ахахах,6,129,6636103810,3572,
86,3356,chat,дум в жопу себе запихай,6,129,6636103810,3572,
87,3401,chatwheel,53,1,1,6636103810,3572,
88,3471,chatwheel,14002,8,131,6636103810,3572,
89,3514,chatwheel,14001,8,131,6636103810,3572,
90,3514,chatwheel,14001,8,131,6636103810,3572,
91,3554,chatwheel,2,1,1,6636103810,3572,
92,3561,chatwheel,14001,8,131,6636103810,3572,
93,3561,chatwheel,14001,8,131,6636103810,3572,
94,3591,chatwheel,71,9,132,6636103810,3572,
95,3592,chatwheel,71,9,132,6636103810,3572,
96,3620,chatwheel,62,8,131,6636103810,3572,
97,3745,chatwheel,14002,8,131,6636103810,3572,
98,3781,chatwheel,63,8,131,6636103810,3572,
99,3781,chatwheel,63,8,131,6636103810,3572,
100,3865,chatwheel,14001,8,131,6636103810,3572,
101,3865,chatwheel,14001,8,131,6636103810,3572,
102,3933,chatwheel,71,9,132,6636103810,3572,
103,3933,chatwheel,71,9,132,6636103810,3572,
104,3950,chatwheel,76,8,131,6636103810,3572,
105,3950,chatwheel,76,8,131,6636103810,3572,
106,4052,chatwheel,2,1,1,6636103810,3572,
107,4053,chatwheel,2,1,1,6636103810,3572,
108,4054,chatwheel,2,1,1,6636103810,3572,
109,4055,chatwheel,2,1,1,6636103810,3572,
110,4111,chatwheel,14002,8,131,6636103810,3572,
111,4111,chatwheel,14001,8,131,6636103810,3572,
112,4212,chat,=(((,0,0,6636103810,3572,
113,4215,chatwheel,40062,1,1,6636103810,3572,
114,4216,chatwheel,40062,1,1,6636103810,3572,
115,4219,chat,EZ,3,3,6636103810,3572,
116,4221,chat,700 минут,2,2,6636103810,3572,
0,-46,chatwheel,5001,0,0,6636103507,680,
1,-43,chatwheel,5001,0,0,6636103507,680,
2,-41,chatwheel,62001,2,2,6636103507,680,
3,-41,chatwheel,62001,2,2,6636103507,680,
4,5,chatwheel,5001,0,0,6636103507,680,
5,7,chatwheel,5001,0,0,6636103507,680,
6,7,chatwheel,7,2,2,6636103507,680,
7,13,chatwheel,5006,0,0,6636103507,680,
8,15,chatwheel,5004,0,0,6636103507,680,
9,22,chatwheel,113007,4,4,6636103507,680,
10,259,chatwheel,7,2,2,6636103507,680,
11,342,chatwheel,129002,5,128,6636103507,680,
12,379,chatwheel,42002,3,3,6636103507,680,
13,380,chatwheel,129002,5,128,6636103507,680,
14,389,chatwheel,8,7,130,6636103507,680,
15,407,chatwheel,22002,9,132,6636103507,680,
16,409,chatwheel,7,2,2,6636103507,680,
17,555,chatwheel,22002,9,132,6636103507,680,
18,557,chatwheel,7,2,2,6636103507,680,
19,560,chatwheel,129002,5,128,6636103507,680,
20,627,chatwheel,129002,5,128,6636103507,680,
21,666,chatwheel,7,2,2,6636103507,680,
22,779,chatwheel,129002,5,128,6636103507,680,
23,887,chatwheel,1,2,2,6636103507,680,
24,938,chatwheel,62001,2,2,6636103507,680,
25,1012,chatwheel,42001,3,3,6636103507,680,
26,1012,chatwheel,42001,3,3,6636103507,680,
27,1051,chatwheel,62,2,2,6636103507,680,
28,1058,chatwheel,62,2,2,6636103507,680,
29,1081,chatwheel,62001,2,2,6636103507,680,
30,1098,chatwheel,71,5,128,6636103507,680,
31,1098,chatwheel,71,5,128,6636103507,680,
32,1124,chatwheel,62001,2,2,6636103507,680,
33,1245,chatwheel,129002,5,128,6636103507,680,
34,1302,chatwheel,90,2,2,6636103507,680,
35,1341,chatwheel,129001,5,128,6636103507,680,
36,1342,chatwheel,62,5,128,6636103507,680,
37,1365,chatwheel,129002,5,128,6636103507,680,
38,1478,chatwheel,62001,2,2,6636103507,680,
39,1621,chatwheel,71,3,3,6636103507,680,
40,1621,chatwheel,71,3,3,6636103507,680,
41,1626,chatwheel,62001,2,2,6636103507,680,
42,1669,chatwheel,42001,3,3,6636103507,680,
43,1670,chatwheel,42001,3,3,6636103507,680,
44,1671,chatwheel,62001,2,2,6636103507,680,
45,1671,chatwheel,62001,2,2,6636103507,680,
46,1698,chat,what is the point buy recipe first? can anyone tell me?,7,130,6636103507,680,
47,1730,chat,ПАРНИ,3,3,6636103507,680,
48,1734,chat,ЗАСОСАЛА,3,3,6636103507,680,
49,1738,chat,ТАМ У ВАС,3,3,6636103507,680,
50,1742,chat,БЛЕКХОЛ,3,3,6636103507,680,
51,1745,chat,НА МИНИМУМЕ,3,3,6636103507,680,
52,1747,chatwheel,76,4,4,6636103507,680,
53,1754,chatwheel,42001,3,3,6636103507,680,
54,1754,chatwheel,42002,3,3,6636103507,680,
55,1759,chatwheel,113007,4,4,6636103507,680,
