,time,type,key,slot,player_slot,id,avg_mmr,unit
0,-12,chatwheel,0,1,1,6629454411,3012,
1,-8,chatwheel,54,6,129,6629454411,3012,
2,-8,chatwheel,54,6,129,6629454411,3012,
3,4,chatwheel,0,1,1,6629454411,3012,
4,19,chatwheel,38001,4,4,6629454411,3012,
5,20,chatwheel,68001,0,0,6629454411,3012,
6,21,chatwheel,68001,0,0,6629454411,3012,
7,51,chatwheel,10001,1,1,6629454411,3012,
8,122,chatwheel,71,9,132,6629454411,3012,
9,122,chatwheel,71,9,132,6629454411,3012,
10,125,chatwheel,10001,1,1,6629454411,3012,
11,130,chatwheel,54,1,1,6629454411,3012,
12,131,chatwheel,7,6,129,6629454411,3012,
13,137,chatwheel,54,1,1,6629454411,3012,
14,141,chatwheel,2,1,1,6629454411,3012,
15,143,chatwheel,2,1,1,6629454411,3012,
16,157,chatwheel,71,9,132,6629454411,3012,
17,157,chatwheel,71,9,132,6629454411,3012,
18,159,chatwheel,10001,1,1,6629454411,3012,
19,159,chatwheel,10001,1,1,6629454411,3012,
20,185,chatwheel,31001,6,129,6629454411,3012,
21,206,chatwheel,2,1,1,6629454411,3012,
22,269,chatwheel,7,4,4,6629454411,3012,
23,279,chatwheel,0,1,1,6629454411,3012,
24,330,chatwheel,0,1,1,6629454411,3012,
25,349,chatwheel,71,9,132,6629454411,3012,
26,349,chatwheel,71,9,132,6629454411,3012,
27,363,chatwheel,31003,6,129,6629454411,3012,
28,383,chatwheel,71,2,2,6629454411,3012,
29,414,chatwheel,71,3,3,6629454411,3012,
30,414,chatwheel,71,3,3,6629454411,3012,
31,419,chatwheel,31001,6,129,6629454411,3012,
32,419,chatwheel,31002,6,129,6629454411,3012,
33,420,chatwheel,38001,4,4,6629454411,3012,
34,445,chatwheel,10001,1,1,6629454411,3012,
35,446,chatwheel,10001,1,1,6629454411,3012,
36,603,chatwheel,71,9,132,6629454411,3012,
37,604,chatwheel,1001,9,132,6629454411,3012,
38,605,chatwheel,126001,5,128,6629454411,3012,
39,605,chatwheel,126001,5,128,6629454411,3012,
40,605,chatwheel,1001,9,132,6629454411,3012,
41,614,chatwheel,7,9,132,6629454411,3012,
42,614,chatwheel,7,9,132,6629454411,3012,
43,646,chatwheel,1001,9,132,6629454411,3012,
44,646,chatwheel,1001,9,132,6629454411,3012,
45,673,chatwheel,38002,4,4,6629454411,3012,
46,697,chatwheel,21003,8,131,6629454411,3012,
47,716,chatwheel,21002,8,131,6629454411,3012,
48,761,chatwheel,62,1,1,6629454411,3012,
49,761,chatwheel,68,4,4,6629454411,3012,
50,766,chatwheel,1001,9,132,6629454411,3012,
51,807,chat,GANEN SU WEBADA,9,132,6629454411,3012,
52,820,chat,GRACIAS,9,132,6629454411,3012,
53,920,chat,TREMNENDA COMPRA CUENTAS MI AM,7,130,6629454411,3012,
54,924,chat,1K DE MRD SIN ITEMS,7,130,6629454411,3012,
55,946,chatwheel,1,4,4,6629454411,3012,
56,979,chatwheel,71,8,131,6629454411,3012,
57,1040,chatwheel,1001,9,132,6629454411,3012,
58,1040,chatwheel,1001,9,132,6629454411,3012,
59,1107,chatwheel,71,3,3,6629454411,3012,
60,1107,chatwheel,71,3,3,6629454411,3012,
61,1199,chatwheel,126001,5,128,6629454411,3012,
62,1200,chatwheel,126001,5,128,6629454411,3012,
63,1201,chatwheel,54,6,129,6629454411,3012,
64,1201,chatwheel,54,6,129,6629454411,3012,
65,1259,chatwheel,1001,9,132,6629454411,3012,
66,1259,chatwheel,1001,9,132,6629454411,3012,
67,1263,chat,xdd,0,0,6629454411,3012,
68,1356,chatwheel,71,7,130,6629454411,3012,
69,1357,chatwheel,71,7,130,6629454411,3012,
70,1362,chatwheel,1001,9,132,6629454411,3012,
71,1362,chatwheel,1001,9,132,6629454411,3012,
72,1365,chat,BONU,7,130,6629454411,3012,
73,1375,chat,gg ,6,129,6629454411,3012,
74,1378,chat,Terminen nomas,6,129,6629454411,3012,
75,1381,chat,TEPEA LA LEGION,9,132,6629454411,3012,
76,1382,chat,MI TEAM,9,132,6629454411,3012,
77,1384,chat,EN MI BASE,9,132,6629454411,3012,
78,1385,chat,JAJA,9,132,6629454411,3012,
79,1422,chatwheel,10001,1,1,6629454411,3012,
80,1423,chatwheel,10001,1,1,6629454411,3012,
81,1458,chat,AHI ESTA MI AM MULA SIN ITEMS,7,130,6629454411,3012,
82,1470,chatwheel,76,4,4,6629454411,3012,
83,1474,chat,REPORTEN AM COMPRA CUENTAS DE MRD,7,130,6629454411,3012,
0,-73,chat,prepare your anus peruvians¡,0,0,6629454407,3689,
1,-66,chatwheel,64005,8,131,6629454407,3689,
2,-40,chatwheel,71,5,128,6629454407,3689,
3,-26,chatwheel,140949,2,2,6629454407,3689,
4,-15,chatwheel,71,8,131,6629454407,3689,
5,-2,chat,quieres ganar ? gana gana ya gana gana gana !,9,132,6629454407,3689,
6,9,chatwheel,414,2,2,6629454407,3689,
