match_id,compound_score,n_chat_messages,avg_mmr,match_id,label
17,6.7566,28,2207.7858409122705,17,pos
21,1.8504,29,2991.513148331378,21,pos
22,-0.2778,33,3612.7526078944215,22,neg
24,4.7689,19,3500.584776938418,24,pos
29,5.7922,87,3187.2915835243098,29,pos
32,6.0928,67,3662.77878982736,32,pos
33,0.592,3,3341.1896776138747,33,pos
35,2.7100999999999997,25,3500.230766712576,35,pos
39,0.5287999999999999,17,3252.3628397411394,39,pos
42,0.296,34,3060.3456750061764,42,pos
43,0.7549999999999999,11,2753.109461214574,43,pos
45,2.4385,16,3312.568411697927,45,pos
46,2.4074,10,3131.4033876462954,46,pos
48,-2.4324,44,3497.8102412220182,48,neg
52,2.3665,16,3586.0800103811125,52,pos
55,-1.884,30,3217.8317489357337,55,neg
62,0.3541999999999999,35,3539.493862930362,62,pos
63,-0.42629999999999985,18,3607.155067143459,63,neg
66,0.5199,19,3481.3970257168908,66,pos
72,2.4726999999999997,87,3569.177577322585,72,pos
73,4.5584,31,3648.807121967841,73,pos
75,1.4637,12,3145.6644840248387,75,pos
76,0.9388,20,3399.526947754839,76,pos
84,1.8707,34,3635.824235068345,84,pos
87,1.7624,9,2975.2892525039483,87,pos
91,2.1736,18,3279.5526393129244,91,pos
93,0.8049,4,3360.939987466112,93,pos
94,0.7549999999999999,18,3545.122100398446,94,pos
98,2.2016,29,3364.114270552562,98,pos
99,0.8881999999999999,23,3639.6751112671423,99,pos
101,1.1229,28,3289.468061536533,101,pos
102,1.4818,20,3414.728010877513,102,pos
103,0.15659999999999996,15,3270.9877651142474,103,pos
109,-0.4588,7,3511.7419119491874,109,neg
113,1.6329,5,3119.841233246191,113,pos
114,1.7777,6,3316.554972740121,114,pos
116,1.9663,28,3144.6029957068554,116,pos
117,0.0036000000000000476,9,3494.18863979092,117,neu
119,1.7624,20,3517.188213529161,119,pos
121,0.5851000000000002,32,3294.514343480176,121,pos
122,3.0523,26,3486.685077499173,122,pos
123,1.2809,14,3332.122017770864,123,pos
128,2.3676,48,3373.275107292014,128,pos
130,1.1216,14,3463.1447342484885,130,pos
131,0.034599999999999964,6,2912.9911827741066,131,neu
132,2.0863,16,3244.084774278632,132,pos
133,8.137599999999999,44,3623.515544041437,133,pos
137,0.2824,13,3259.362704335413,137,pos
138,1.6486,7,3151.039140707316,138,pos
139,1.6309999999999998,14,3474.512703553118,139,pos
141,0.36319999999999986,41,3324.6020629670084,141,pos
150,0.9934,4,3037.2439038555744,150,pos
154,0.7007999999999999,17,3264.7345528629385,154,pos
155,0.5436,11,3494.1059301725563,155,pos
158,0.0772,2,3400.283541176465,158,pos
162,2.1976,33,3516.5396059960467,162,pos
168,-0.1059,5,3249.921283297268,168,neg
173,1.1168999999999998,29,3630.8153846260193,173,pos
179,4.5086,59,3612.715752458396,179,pos
199,6.7457,22,3453.689291371036,199,pos
2310,1.7728,42,3506.5169081863082,2310,pos
2321,0.7699,4,3627.800206944892,2321,pos
2335,1.0785,9,3430.741868919893,2335,pos
2340,0.41999999999999993,9,3385.8581021424966,2340,pos
2344,2.5172,61,2904.3420860789115,2344,pos
2346,-2.0322,41,3555.470943350784,2346,neg
2349,1.9947,15,2769.2690837697382,2349,pos
2352,-0.7959000000000003,46,3450.064611279821,2352,neg
2357,5.1911,65,3369.6041624736645,2357,pos
2358,4.0285,34,3490.5828008934027,2358,pos
2359,3.4341,37,3350.758130251079,2359,pos
2361,1.9927000000000001,7,3325.1214552532606,2361,pos
2364,0.4939,16,3556.5722279466668,2364,pos
2367,-0.013900000000000023,40,3319.8664407728706,2367,neu
2370,1.3871,10,3420.2511284071506,2370,pos
2371,1.0722,8,3549.083167931982,2371,pos
2373,6.3823,53,2665.8983232835817,2373,pos
2379,-0.4761000000000001,15,3296.4705433934705,2379,neg
2380,4.8129,26,2371.741625518352,2380,pos
2383,-0.016099999999999948,25,3486.1577215364723,2383,neu
2390,1.4973999999999998,12,3632.11795947748,2390,pos
2391,0.8685999999999999,10,3501.394696266086,2391,pos
2392,1.0457999999999998,10,3475.103948945799,2392,pos
2393,3.5654,61,3660.076460513756,2393,pos
2394,-0.07830000000000004,10,3643.678255334192,2394,neg
2396,0.15380000000000016,85,3337.4159515064975,2396,pos
2397,-0.6379999999999999,14,3012.065279980397,2397,neg
2402,1.9018,10,3136.064315976826,2402,pos
2403,-0.8392999999999999,13,3040.05040991975,2403,neg
2404,0.33599999999999997,8,3368.4828726018386,2404,pos
2408,-0.9504000000000001,19,3205.615612962344,2408,neg
2410,0.6960999999999999,5,3101.8413296505987,2410,pos
2412,0.36249999999999993,14,3413.1371931489334,2412,pos
2413,2.6559,165,3404.3567104745866,2413,pos
2420,0.0,1,3222.4312719817167,2420,neu
2424,0.5360999999999999,50,2901.931072060456,2424,pos
2425,5.2347,40,3374.7679258961034,2425,pos
2428,0.6618999999999999,24,3186.0355863421332,2428,pos
2432,3.1103,37,3660.110952127936,2432,pos
2436,1.4901,70,3381.351296277013,2436,pos
2438,0.7899,2,2982.9756473341613,2438,pos
2441,0.31659999999999994,13,3333.2834639261614,2441,pos
2446,2.4055,14,3349.565134499581,2446,pos
2451,1.8228,11,3644.48050480693,2451,pos
2452,2.2752,6,3222.2200856775103,2452,pos
2453,0.5969999999999999,23,3199.4768587133262,2453,pos
2456,2.7228999999999997,44,3372.4835087591255,2456,pos
2457,7.905799999999999,46,3033.6551244452808,2457,pos
2465,1.7553999999999998,29,3288.358829739264,2465,pos
2468,-0.9648000000000001,9,2470.475656983544,2468,neg
2469,5.1426,25,3462.394431028904,2469,pos
2470,0.47419999999999984,47,3307.38813171642,2470,pos
2473,0.3804999999999998,63,3402.4348421059617,2473,pos
2475,4.2514,25,3492.470983205674,2475,pos
2483,-0.42680000000000007,11,3166.0114683562106,2483,neg
2485,0.8657999999999999,7,3304.185337705939,2485,pos
2487,2.7451,48,3508.499972382587,2487,pos
2489,3.7039999999999997,39,3663.106565025209,2489,pos
2492,0.2632000000000001,22,3401.024721420414,2492,pos
2501,-0.4064999999999998,76,3484.890825016116,2501,neg
2502,-0.44200000000000006,10,3628.135948704609,2502,neg
2507,-0.034200000000000064,23,3612.115616830269,2507,neu
2516,-0.7026999999999999,30,3611.19853071509,2516,neg
2520,0.9269999999999998,47,3401.753675344677,2520,pos
2550,5.67,58,3492.516933083599,2550,pos
5002,0.16799999999999998,10,3280.914738446968,5002,pos
5027,-1.5021,77,3585.7953123027078,5027,neg
5029,2.9108,21,3632.3795429954894,5029,pos
5032,1.7715,15,3457.402653605881,5032,pos
5045,2.9897,17,3500.4815906008143,5045,pos
5049,3.6151,23,3339.513639038936,5049,pos
5067,2.8064999999999998,30,3473.590800306124,5067,pos
5076,1.8041,8,3553.9596446404043,5076,pos
5078,2.665,32,2829.602152180561,5078,pos
5086,2.0741,8,3587.0114692130965,5086,pos
5087,1.2528,29,3439.3599432389533,5087,pos
5088,3.4179,15,3310.7610569148324,5088,pos
5091,2.2865,21,3446.999807629365,5091,pos
5096,2.0537,40,3462.7775851902757,5096,pos
5108,3.6241,27,3501.437022456772,5108,pos
5116,1.3594,10,3452.277940406139,5116,pos
5117,1.2871000000000001,24,3268.311746656453,5117,pos
5119,1.1017,8,3239.7692156627304,5119,pos
5122,1.7389999999999999,54,3091.343815333238,5122,pos
5125,1.4465,10,3594.166903549921,5125,pos
5126,3.3722,17,3626.98638439513,5126,pos
5128,2.3181,9,3151.6761252787373,5128,pos
5133,2.3048,20,3017.353760273033,5133,pos
5135,2.7704,16,3281.2213727565045,5135,pos
5138,3.2855,14,3179.405002986106,5138,pos
5139,1.8223,5,3151.451677609259,5139,pos
5145,-0.0675,24,3385.803348614993,5145,neg
5147,1.48,14,3274.442432616612,5147,pos
5150,0.8028,9,3630.977241460758,5150,pos
5155,6.7298,50,3566.488841471882,5155,pos
5157,1.5695999999999999,95,2756.4155874556773,5157,pos
5172,1.69,21,3594.639450305036,5172,pos
